/---------- barra no inicio significa comentario (OBS: não deixar linhas em branco)
/----------
/---------- nome_objeto escala x y z red green blue rotx roty rotz
objetos/casa.obj 2 20 2.0 -20.0 1.0 0.0 1.0 0.0 0.0 0.0
objetos/arvore1.obj 2 45 0.0 0.0 0.0 1.0 1.0 0.0 0.0 0.0
objetos/casa1.obj 2 60 0.0 -5.0 1.0 0.0 1.0 0.0 0.0 0.0
objetos/arvore1.obj 3 105 0.0 -10.0 0.0 0.0 1.0 0.0 0.0 0.0
objetos/casa.obj 2 130 2.0 -20.0 1.0 0.0 1.0 0.0 0.0 0.0
objetos/arvore.obj 2 160 0.0 -20.0 1.0 0.0 1.0 4.71 0.0 0.0
objetos/casa3.obj 2 190 0.0 -20.0 1.0 1.0 1.0 0.0 3.14 0.0
objetos/arvore2.obj 2 160 0.0 -3.0 1.0 0.0 1.0 0.0 0.0 0.0
objetos/arvore1.obj 2 205 0.0 -15.0 0.0 0.0 1.0 0.0 0.0 0.0
objetos/casa1.obj 2 20 0.0 -90.0 1.0 0.0 1.0 0.0 0.0 0.0
objetos/arvore2.obj 2 50 0.0 -85.0 0.0 0.0 1.0 0.0 0.0 0.0
objetos/casa3.obj 2 90 0.0 -120.0 1.0 0.0 1.0 0.0 3.14 0.0
objetos/arvore1.obj 4 110 0.0 -90.0 0.0 0.0 1.0 0.0 0.0 0.0
objetos/casa3.obj 2 150 0.0 -110.0 1.0 1.0 1.0 0.0 3.14 0.0
objetos/arvore2.obj 3 160 0.0 -120.0 1.0 0.0 1.0 0.0 0.0 0.0
objetos/casa1.obj 2 180 0.0 -100.0 1.0 0.0 1.0 0.0 0.0 0.0
objetos/arvore.obj 2 170 0.0 -80.0 1.0 0.0 1.0 4.71 0.0 0.0
objetos/arvore2.obj 3 205 0.0 -85.0 0.0 0.0 1.0 0.0 0.0 0.0
objetos/casa1.obj 2 20 0.0 -180.0 1.0 0.0 1.0 0.0 0.0 0.0
objetos/arvore1.obj 2 55 0.0 -170.0 0.0 0.0 1.0 0.0 0.0 0.0
objetos/arvore2.obj 3 55 0.0 -205.0 0.0 0.0 1.0 0.0 0.0 0.0
objetos/casa.obj 2 80 2.0 -190.0 1.0 0.0 1.0 0.0 0.0 0.0
objetos/arvore2.obj 4 110 0.0 -180.0 0.0 0.0 1.0 0.0 0.0 0.0
objetos/casa3.obj 2 150 0.0 -200.0 1.0 0.0 1.0 0.0 3.14 0.0
objetos/arvore1.obj 3 160 0.0 -210.0 1.0 1.0 1.0 0.0 0.0 0.0
objetos/casa.obj 2 180 2.0 -190.0 1.0 0.0 1.0 0.0 0.0 0.0
objetos/arvore.obj 3 205 0.0 -180.0 1.0 0.0 1.0 4.71 0.0 0.0
objetos/casa1.obj 2 40 0.0 -290.0 1.0 0.0 1.0 0.0 3.14 0.0
objetos/arvore2.obj 3 65 0.0 -275.0 0.0 0.0 1.0 0.0 0.0 0.0
objetos/arvore1.obj 5 50 0.0 -300.0 0.0 0.0 1.0 0.0 0.0 0.0
objetos/casa3.obj 2 80 2.0 -289.0 1.0 0.0 1.0 0.0 0.0 0.0
objetos/arvore1.obj 4 110 0.0 -280.0 0.0 0.0 1.0 0.0 0.0 0.0
objetos/casa1.obj 2 125 0.0 -290.0 1.0 0.0 1.0 0.0 0.0 0.0
objetos/arvore.obj 3 160 0.0 -310.0 1.0 0.0 1.0 4.71 0.0 0.0
objetos/casa.obj 2 180 2.0 -289.0 1.0 0.0 1.0 0.0 3.14 0.0
objetos/arvore2.obj 5 205 0.0 -270.0 0.0 0.0 1.0 0.0 0.0 0.0
